Date,^BVSP,^GSPC,^IXIC,^GDAXI,^DJI
2018-08-29,78389.0,2914.0400390625,8109.68994140625,12561.6796875,26124.5703125
2018-08-30,76404.0,2901.1298828125,8088.35986328125,12494.240234375,25986.919921875
2018-08-31,76678.0,2901.52001953125,8109.5400390625,12364.0595703125,25964.8203125
2018-09-03,76193.0,,,12346.41015625,
2018-09-04,74712.0,2896.719970703125,8091.25,12210.2099609375,25952.48046875
2018-09-05,75092.0,2888.60009765625,7995.169921875,12040.4599609375,25974.990234375
2018-09-06,76416.0,2878.050048828125,7922.72998046875,11955.25,25995.869140625
2018-09-10,76436.0,2877.1298828125,7924.16015625,11986.33984375,25857.0703125
2018-09-11,74657.0,2887.889892578125,7972.47021484375,11970.26953125,25971.060546875
2018-09-12,75125.0,2888.919921875,7954.22998046875,12032.2998046875,25998.919921875
2018-09-13,74687.0,2904.179931640625,8013.7099609375,12055.5498046875,26145.990234375
2018-09-14,75429.0,2904.97998046875,8010.0400390625,12124.330078125,26154.669921875
2018-09-17,76789.0,2888.800048828125,7895.7900390625,12096.41015625,26062.119140625
2018-09-18,78314.0,2904.31005859375,7956.10986328125,12157.669921875,26246.9609375
2018-09-19,78169.0,2907.949951171875,7950.0400390625,12219.01953125,26405.759765625
2018-09-20,78116.0,2930.75,8028.22998046875,12326.48046875,26656.98046875
2018-09-21,79444.0,2929.669921875,7986.9599609375,12430.8798828125,26743.5
2018-09-24,77984.0,2919.3701171875,7993.25,12350.8203125,26562.05078125
2018-09-25,78630.0,2915.56005859375,8007.47021484375,12374.66015625,26492.2109375
2018-09-26,78656.0,2905.969970703125,7990.3701171875,12385.8896484375,26385.279296875
2018-09-27,80000.0,2914.0,8041.97021484375,12435.58984375,26439.9296875
2018-09-28,79342.0,2913.97998046875,8046.35009765625,12246.73046875,26458.310546875
2018-10-01,78624.0,2924.590087890625,8037.2998046875,12339.0302734375,26651.2109375
2018-10-02,81612.0,2923.429931640625,7999.5498046875,12287.580078125,26773.939453125
2018-10-03,83273.0,2925.510009765625,8025.08984375,,26828.390625
2018-10-04,82953.0,2901.610107421875,7879.509765625,12244.1396484375,26627.48046875
2018-10-05,82322.0,2885.570068359375,7788.4501953125,12111.900390625,26447.05078125
2018-10-08,86084.0,2884.429931640625,7735.9501953125,11947.16015625,26486.779296875
2018-10-09,86088.0,2880.340087890625,7738.02001953125,11977.2197265625,26430.5703125
2018-10-10,83679.0,2785.679931640625,7422.0498046875,11712.5,25598.740234375
2018-10-11,82921.0,2728.3701171875,7329.06005859375,11539.349609375,25052.830078125
2018-10-15,83360.0,2750.7900390625,7430.740234375,11614.16015625,25250.55078125
2018-10-16,85718.0,2809.919921875,7645.490234375,11776.5498046875,25798.419921875
2018-10-17,85764.0,2809.2099609375,7642.7001953125,11715.0302734375,25706.6796875
2018-10-18,83847.0,2768.780029296875,7485.14013671875,11589.2099609375,25379.44921875
2018-10-19,84220.0,2767.780029296875,7449.02978515625,11553.830078125,25444.33984375
2018-10-22,85597.0,2755.8798828125,7468.6298828125,11524.33984375,25317.41015625
2018-10-23,85300.0,2740.68994140625,7437.5400390625,11274.2802734375,25191.4296875
2018-10-24,83064.0,2656.10009765625,7108.39990234375,11191.6298828125,24583.419921875
2018-10-25,84084.0,2705.570068359375,7318.33984375,11307.1201171875,24984.55078125
2018-10-26,85720.0,2658.68994140625,7167.2099609375,11200.6201171875,24688.310546875
2018-10-29,83797.0,2641.25,7050.2900390625,11335.48046875,24442.919921875
2018-10-30,86886.0,2682.6298828125,7161.64990234375,11287.3896484375,24874.640625
